4245,2004/11/20,pen,5,20,100
4807,2004/11/23,pencil,3,4,12
9206,2025/03/01,color pen,50,1,50
7499,2025/03/01,paint,80,2,160
1827,2025/03/03,toy,2,4,8
6082,2025/09/09,marker,1,2,2
6950,2025/10/10,mask,20,2,40
2320,2025/11/11,eraser,3,5,15
9120,2025/20/20,pencil,2,3,6
5277,2006/09/09,glitter,30,2,60
5932,2001/11/02,eraser,2,3,6
2417,2005/05/01,sharpner,5,1,5
5812,2003/08/02,pens,8,10,80
7620,2003/08/01,pens,8,10,80
7506,1997/01/01,inkpen,40,2,80
3996,1998/02/02,pen,1,5,5
5225,2000/04/04,sketch,1,2,2
4783,1990/10/01,ink bottle,40,1,40
7704,2009/10/10,crayons,30,1,30
